"subject" "activity" "m.tBodyAccMag" "m.tGravityAccMag" "m.tBodyAccJerkMag" "m.tBodyGyroMag" "m.tBodyGyroJerkMag" "m.fBodyAccMag" "m.fBodyBodyAccJerkMag" "m.fBodyBodyGyroMag" "m.fBodyBodyGyroJerkMag"
1 "1.WALKING" -0.136971176556842 -0.136971176556842 -0.141428809031579 -0.160979552536842 -0.298703679084211 -0.128623450629474 -0.0571194000343158 -0.199252568986316 -0.319308593778947
1 "2.WALKING UPSTAIRS" -0.129927630735849 -0.129927630735849 -0.466503446226415 -0.126735589969811 -0.59488286509434 -0.352395944716981 -0.44265216245283 -0.325961457396226 -0.634665082075472
1 "3.WALKING DOWNSTAIRS" 0.0271882914106122 0.0271882914106122 -0.0894474807979592 -0.0757412543673469 -0.295463843346939 0.0965845343040816 0.0262184949326531 -0.185720285744898 -0.281963359177551
1 "4.SITTING" -0.948536786170213 -0.948536786170213 -0.987364195531915 -0.93089249 -0.991976341276596 -0.947782922553192 -0.985262126808511 -0.958435589361702 -0.989797547234043
1 "5.STANDING" -0.984278207358491 -0.984278207358491 -0.992367790566038 -0.976493792830189 -0.994966790566038 -0.985356361132075 -0.99254247754717 -0.984617623396226 -0.994815376981132
1 "6.LAYING" -0.8419291525 -0.8419291525 -0.9543962646 -0.874759548 -0.96346103 -0.8617676481 -0.9333003608 -0.8621901854 -0.9423669466
2 "1.WALKING" -0.290407593728814 -0.290407593728814 -0.281424153881356 -0.446549092881356 -0.547911950338983 -0.324289427932203 -0.169064352813559 -0.530704814745763 -0.583249293389831
2 "2.WALKING UPSTAIRS" -0.107322679520833 -0.107322679520833 -0.321268911041667 -0.219713472958333 -0.572816438541667 -0.14531853915625 -0.189511136902083 -0.450612184791667 -0.60079849625
2 "3.WALKING DOWNSTAIRS" 0.0899511204978723 0.0899511204978723 0.00565516335106383 -0.162188586930426 -0.410872671489362 0.293424826591489 0.222247409576596 -0.320838543553191 -0.380175306489362
2 "4.SITTING" -0.967893623913043 -0.967893623913043 -0.986774713043478 -0.946035087173913 -0.991081493913043 -0.96127374826087 -0.983874698913043 -0.971840596086956 -0.989861950869565
2 "5.STANDING" -0.965875181296296 -0.965875181296296 -0.980489077407407 -0.963466341851852 -0.983951904259259 -0.964052166481482 -0.977065295555556 -0.961775904814815 -0.977849827407407
2 "6.LAYING" -0.977435485208333 -0.977435485208333 -0.987741696041667 -0.950011569583333 -0.991767074166667 -0.975110196458333 -0.985374114791667 -0.972112972708333 -0.990248702291667
3 "1.WALKING" -0.254690333275862 -0.254690333275862 -0.280009317413793 -0.466411754137931 -0.566135217931034 -0.290031535172414 -0.186764516965517 -0.569755772241379 -0.607751646034483
3 "2.WALKING UPSTAIRS" -0.184014895 -0.184014895 -0.436901159491525 -0.347321812220339 -0.658861401355932 -0.315866079491525 -0.412920898474576 -0.514211583728814 -0.716877778644068
3 "3.WALKING DOWNSTAIRS" -0.0628126118283674 -0.0628126118283674 -0.205239246653061 -0.215294501244898 -0.508567577142857 0.0289413195612245 -0.049477977322449 -0.332376629371429 -0.576277199387755
3 "4.SITTING" -0.895383350192308 -0.895383350192308 -0.969080752884615 -0.919354372307692 -0.977998051923077 -0.904185725576923 -0.965888891730769 -0.946664943653846 -0.977898105576923
3 "5.STANDING" -0.925430819016393 -0.925430819016393 -0.959303840327869 -0.892089349344262 -0.962339339672131 -0.926968932295082 -0.948627467704918 -0.913682362622951 -0.960331717868852
3 "6.LAYING" -0.972791346129032 -0.972791346129032 -0.979484593387097 -0.951564751451613 -0.98671362516129 -0.96552427516129 -0.975949597903226 -0.96458672483871 -0.984278251290323
4 "1.WALKING" -0.312050574166667 -0.312050574166667 -0.366700879833333 -0.49779220106 -0.6813040365 -0.450804558333333 -0.318587811 -0.609285588016667 -0.724327420666667
4 "2.WALKING UPSTAIRS" -0.153703935357692 -0.153703935357692 -0.400922254807692 -0.299779407884615 -0.686978374423077 -0.276825498230769 -0.397406285 -0.575794072115385 -0.740749226346154
4 "3.WALKING DOWNSTAIRS" -0.0491616726733333 -0.0491616726733333 -0.228851413747333 -0.3466062928 -0.592843014888889 -0.01907433524 -0.175295286557778 -0.429213369555556 -0.621752455777778
4 "4.SITTING" -0.93569482 -0.93569482 -0.9701322836 -0.9260633138 -0.9804904618 -0.929002095 -0.9625007338 -0.9487697524 -0.9765477634
4 "5.STANDING" -0.906478051785714 -0.906478051785714 -0.963370738392857 -0.900982100535714 -0.967614073928571 -0.917614014821429 -0.956139283571429 -0.914209165714286 -0.964471139464286
4 "6.LAYING" -0.954557603148148 -0.954557603148148 -0.970095771666667 -0.930236462592593 -0.985068502037037 -0.939389701296296 -0.96228712537037 -0.961556660185185 -0.983609073333333
5 "1.WALKING" -0.158338674394643 -0.158338674394643 -0.288333024071429 -0.355933083571429 -0.444532485357143 -0.304992488892857 -0.269481661080357 -0.484262828928571 -0.548053574821429
5 "2.WALKING UPSTAIRS" 0.0435562021989362 0.0435562021989362 -0.247403476914894 -0.235516929306383 -0.47348816787234 -0.169261525 -0.264674938957447 -0.392564530851064 -0.571344138723404
5 "3.WALKING DOWNSTAIRS" 0.211138853638298 0.211138853638298 -0.0637528559361702 -0.218029835319149 -0.39719562106383 0.155742168808511 0.00918394264170213 -0.349338414731915 -0.453697247021277
5 "4.SITTING" -0.9379783225 -0.9379783225 -0.969320155681818 -0.934301646590909 -0.973848287045455 -0.936290604545455 -0.964440302272727 -0.944760322045455 -0.971598370227273
5 "5.STANDING" -0.906104701071429 -0.906104701071429 -0.956863566071429 -0.900671630714286 -0.958405900892857 -0.9046413925 -0.941825903035714 -0.904543921607143 -0.952286438035714
5 "6.LAYING" -0.966777882884615 -0.966777882884615 -0.980141253846154 -0.946938300576923 -0.9864194225 -0.962234984038462 -0.977356379807692 -0.968257068846154 -0.984618025769231
6 "1.WALKING" -0.166840713631579 -0.166840713631579 -0.195117026052632 -0.281207841122807 -0.321290483140351 -0.201386607649123 -0.055401423331579 -0.329681123368421 -0.366500534122807
6 "2.WALKING UPSTAIRS" 0.0177790974433333 0.0177790974433333 -0.207379799254902 -0.12912124415098 -0.342895367921569 -0.0819479396203922 -0.169868234496078 -0.230627015078431 -0.45923633377451
6 "3.WALKING DOWNSTAIRS" 0.333754731458333 0.333754731458333 0.10384507225 0.0142677821595833 -0.0829366854166667 0.395958034583333 0.243834258785417 -0.0143735434 -0.132705384364583
6 "4.SITTING" -0.949543531272727 -0.949543531272727 -0.962733502 -0.932703812181818 -0.962929227818182 -0.935750391272727 -0.948348653636364 -0.929725679272727 -0.952034566
6 "5.STANDING" -0.945022876491228 -0.945022876491228 -0.967102436140351 -0.939404744385965 -0.963406222982456 -0.945949804035088 -0.955914005438597 -0.926664297017544 -0.955425138245614
6 "6.LAYING" -0.918878850824561 -0.918878850824561 -0.954750504912281 -0.908980174736842 -0.955645738245614 -0.91235165222807 -0.948655471052632 -0.930153639473684 -0.953695957368421
7 "1.WALKING" -0.0978090439438596 -0.0978090439438596 -0.192948900438596 -0.305959351403509 -0.300022779964912 -0.151243649578947 -0.0384187298547368 -0.192909765467895 -0.155339855862632
7 "2.WALKING UPSTAIRS" -0.198074437978431 -0.198074437978431 -0.458695232352941 -0.239099165627451 -0.661969771960784 -0.378618761568627 -0.45478324745098 -0.533982945882353 -0.673327281960784
7 "3.WALKING DOWNSTAIRS" 0.0198795285851064 0.0198795285851064 -0.170319619372979 -0.18874081887234 -0.399229959148936 0.218911066191489 0.067389886106383 -0.255045057404255 -0.289096677191489
7 "4.SITTING" -0.918432107083333 -0.918432107083333 -0.976559676458333 -0.897870535 -0.981665122291667 -0.90895677625 -0.970954184166667 -0.933081955208333 -0.978634991458333
7 "5.STANDING" -0.942724659245283 -0.942724659245283 -0.973381306226415 -0.943425564528302 -0.977377083018868 -0.945611450377358 -0.967417888301887 -0.93870498490566 -0.973671168679245
7 "6.LAYING" -0.936392023846154 -0.936392023846154 -0.980127239615385 -0.915793634807692 -0.983008829038462 -0.927976880634615 -0.968066259230769 -0.941130719230769 -0.974117912115385
8 "1.WALKING" 0.0516786278104167 0.0516786278104167 -0.0668322430433333 -0.00310243820125 -0.339129269583333 -0.09521728274375 -0.123834409766667 -0.301241848645833 -0.473026230833333
8 "2.WALKING UPSTAIRS" 0.121026629195122 0.121026629195122 -0.141494613465854 0.166447991 -0.400664014146341 -0.13026451905122 -0.131850567460976 -0.229610952609756 -0.46327057804878
8 "3.WALKING DOWNSTAIRS" 0.176599311818421 0.176599311818421 0.262628490268421 0.0993429744078947 -0.126189142894737 0.301626757315789 0.331528459921053 -0.00036272967368421 -0.125179586744737
8 "4.SITTING" -0.952139704347826 -0.952139704347826 -0.986061512173913 -0.93268224326087 -0.991807428043478 -0.947981783478261 -0.980932292391304 -0.965806789347826 -0.987730604130435
8 "5.STANDING" -0.953762884074074 -0.953762884074074 -0.984920797777778 -0.952848496851852 -0.987580587777778 -0.953746070740741 -0.979745872037037 -0.964564224074074 -0.983709233333333
8 "6.LAYING" -0.935308633888889 -0.935308633888889 -0.97314748962963 -0.924253348518518 -0.978438191296296 -0.932279645518518 -0.961792852407407 -0.944528950555556 -0.968403945925926
9 "1.WALKING" -0.0980840496143461 -0.0980840496143461 -0.203733615519231 -0.294542266826923 -0.510253995769231 -0.318801022711538 -0.316870715576923 -0.513797480384615 -0.602581618269231
9 "2.WALKING UPSTAIRS" -0.260727581428571 -0.260727581428571 -0.440667540204082 -0.0833234490061224 -0.672840561836735 -0.372890348979592 -0.419533108571429 -0.531482693877551 -0.734159449387755
9 "3.WALKING DOWNSTAIRS" 0.145886357935714 0.145886357935714 -0.16237608927619 -0.168921400633333 -0.469028434047619 0.222203941 0.00716877883571429 -0.347540226666667 -0.463172053809524
9 "4.SITTING" -0.8933617176 -0.8933617176 -0.964383757 -0.9032355368 -0.9733641366 -0.8977181972 -0.9530504408 -0.9344377378 -0.9683155878
9 "5.STANDING" -0.945167482444444 -0.945167482444444 -0.969524578888889 -0.921030223111111 -0.969824044222222 -0.946330171777778 -0.963242884 -0.929769067777778 -0.967491628
9 "6.LAYING" -0.9308684376 -0.9308684376 -0.9633745492 -0.9071250998 -0.964524819 -0.9266042952 -0.9543205856 -0.9186053356 -0.9558062546
10 "1.WALKING" -0.127400912069811 -0.127400912069811 -0.132624992298283 -0.156458730358491 -0.440363636603774 -0.0930237422792453 0.0205189516981132 -0.412616909622642 -0.515065335849057
10 "2.WALKING UPSTAIRS" -0.0266623294757447 -0.0266623294757447 -0.262038042446809 0.0438573846851064 -0.523462968510638 -0.166866721574468 -0.153553147382979 -0.265371689148936 -0.600582998297872
10 "3.WALKING DOWNSTAIRS" 0.250843769394737 0.250843769394737 0.0507010228431579 -0.0238468037578947 -0.401854311315789 0.220115703368421 0.156978047052632 -0.312347510289474 -0.484196484736842
10 "4.SITTING" -0.96075719962963 -0.96075719962963 -0.988054237592593 -0.944202043703704 -0.993707487592593 -0.955281010740741 -0.985900801111111 -0.974459732592593 -0.992191529259259
10 "5.STANDING" -0.951988907954545 -0.951988907954545 -0.965163818409091 -0.929787259772727 -0.971637661590909 -0.9401101675 -0.951633690454545 -0.937786743409091 -0.965614081363636
10 "6.LAYING" -0.956781819655172 -0.956781819655172 -0.976234435172414 -0.937590998793103 -0.970830848965517 -0.950848109137931 -0.968561121551724 -0.937692642586207 -0.960976821551724
11 "1.WALKING" -0.288323472033898 -0.288323472033898 -0.402333202033898 -0.421801673559322 -0.63073270559322 -0.458514062542373 -0.395116134237288 -0.610222628813559 -0.751914457457627
11 "2.WALKING UPSTAIRS" -0.132594623759259 -0.132594623759259 -0.509587701296296 -0.255048336944444 -0.757314813888889 -0.336061027407407 -0.475928501666667 -0.55009966 -0.795986113703704
